,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
397,E5,Natural Rubber,Ton,China ,5311.0,7.3883410000000005,Rubber Products,5,39239.47905,2014
398,L8,"Nickel, Product Made Of Nickel",Ton,China ,3434.0,37.448566,Metals,2,128598.3756,2013
399,I3,Organic Chemicals,Kgs,China ,331521335.0,455.053364,Chemicals,7,1.5086E+11,2014
400,M2,Oth Non Ferous Metal And Prodc,Kgs,China ,408196.0,3.642549,Metals,2,1486873.932,2012
401,I4,Other Miscellaenious Chemicals,Kgs,China ,5423291.0,14.673135,Chemicals,7,79576680.99,2020
402,L2,Other Plastic Items,Na,China ,36251.0,6.695686,Plastic Products,8,242725.3132,2015
403,I9,Othr Rubber Prodct Excpt Footw,Na,China ,21838.0,29.842908,Rubber Products,5,651709.4249,2015
404,K7,Packaging Materials,Ton,China ,1133.0,4.9534,Plastic Products,8,5612.2022,2013
405,S6,Petroleum Products,Ton,China ,1919643.0,789.427763,Petroleum Products,13,1515419479,2017
406,K9,"Plastc Sht, Film, Plts Etc",Kgs,China ,11141735.0,30.31734,Plastic Products,8,337787768.2,2016
407,K8,Plastic Raw Materials,Ton,China ,210441.0,246.492427,Plastic Products,8,51872112.83,2019
408,L4,Products Of Iron And Steel,Na,China ,2935.0,69.240987,Metals,2,203222.2968,2014
409,O3,Pumps Of All Types,Na,China ,4415.0,19.233528,Machinery and parts,10,84916.02612,2017
410,O6,"Railwy Trnsprt Equipmnts, Prts",Na,China ,1280.0,0.9447209999999999,Machinery and parts,10,1209.24288,2019
411,Q7,Rmg Silk,Na,China ,3559.0,0.266385,Fabric Materials,14,948.064215,2020
412,Q9,Rmg Wool,Na,China ,142.0,5.066196,Fabric Materials,14,719.399832,2014
413,S3,Silk Carpet,Sqm,China ,3.0,0.001263,Fabric Materials,14,0.003789,2012
414,R4,Silk Waste,Kgs,China ,1522520.0,12.462585,Fabric Materials,14,18974534.91,2020
415,Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,China ,230.0,2.8963400000000004,Fabric Materials,14,666.1582,2014
416,Q4,"Wool, Raw",Kgs,China ,19352.0,0.035488,Fabric Materials,14,686.763776,2020
417,M1,Zinc And Products Made Of Zinc,Ton,China ,16151.0,46.928258,Metals,2,757938.295,2019
418,N1,"Aircraft, Spacecraft And Parts",Na,China ,2798.0,20.10352,Machinery and Parts,10,56249.64896,2020
419,M5,Accumulators And Batteries,Na,China ,249.0,0.052256,Accumulators and Batteries,10,13.011744,2017
420,H9,Agro Chemicals,Kgs,Denmark,55517.0,0.47016499999999994,Fertilizers,3,26102.15031,2018
421,O4,"Aircraft, Spacecraft And Parts",Na,Denmark,55517.0,0.532929,Machinery and Parts,10,29586.61929,2018
422,L5,"Aluminium, Products Of Aluminm",Ton,Denmark,436.0,2.3590139999999997,Metals,2,1028.530104,2019
423,N7,"Atm, Injctng Mlding Mchnry Etc",Na,Denmark,436.0,2.042608,Machinery and Parts,10,890.577088,2014
424,M3,Auto Components/Parts,Na,Denmark,436.0,2.138807,Machinery and Parts,10,932.519852,2013
425,I8,Auto Tyres And Tubes,Nos,Denmark,52025.0,9.043973,Rubber Products,5,470512.6953,2015
426,H4,Ayush And Herbal Products,Kgs,Denmark,448610.0,3.238718,Cosmetics,6,1452921.282,2018
427,N2,Bicycle And Parts,Na,Denmark,448610.0,0.014703,Machinery and Parts,10,6595.91283,2018
428,H5,"Bulk Drugs, Drug Intermediates",Kgs,Denmark,295284.0,5.617515,Chemicals,7,1658762.299,2015
429,S2,Carpet(Excl. Silk) Handmade,Sqm,Denmark,1185455.0,14.774683999999999,Handicrafts,12,17514723.02,2018
430,O9,"Computer Hardware, Peripherals",Na,Denmark,49084.0,0.106268,Machinery and Parts,10,5216.058512,2012
431,P1,Consumer Electronics,Na,Denmark,1946.0,0.297284,Electronic Components,11,578.514664,2018
432,K5,"Human Hair, Products Thereo",Kgs,Denmark,321.0,0.1919,Cosmetics,6,61.5999,2013
433,N5,Ic Engines And Parts,Na,Denmark,319.0,1.7772330000000003,Machinery and parts,10,566.937327,2014
434,I2,Inorganic Chemicals,Kgs,Denmark,1757365.0,1.7435599999999998,Chemicals,7,3064071.319,2012
435,L3,Iron And Steel,Ton,Denmark,6668.0,11.560145,Metals,2,77083.04686,2014
436,G3,Leather Footwear Component,Kgs,Denmark,147.0,0.008626,Leather Products,1,1.268022,2020
437,G1,Leather Garments,Kgs,Denmark,410811.0,28.800465000000003,Leather Products,1,11831547.83,2016
438,F9,Leather Goods,Na,Denmark,670127.0,34.620183000000004,Leather Products,1,23199919.37,2017
439,P6,Manmade Staple Fibre,Kgs,Denmark,516942.0,0.5396340000000001,Fabric Materials,14,278959.4792,2020
440,Q3,"Manmade Yarn,Fabrics,Madeups",Na,Denmark,6625.0,8.686389,Fabric Materials,14,57547.32713,2017
441,O5,Motor Vehicle/Cars,Nos,Denmark,4341.0,33.174434999999995,Machinery and parts,10,144010.2223,2012
442,Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,Denmark,4341.0,0.07298099999999999,Fabric Materials,14,316.810521,2020
443,I3,Organic Chemicals,Kgs,Denmark,341992.0,4.789438,Chemicals,7,1637949.48,2013
444,M2,Oth Non Ferous Metal And Prodc,Kgs,Denmark,483420.0,2.557317,Metals,2,1236258.184,2014
445,I4,Other Miscellaenious Chemicals,Kgs,Denmark,43111.0,0.5126689999999999,Chemicals,7,22101.67326,2020
446,L2,Other Plastic Items,Na,Denmark,42426.0,0.277828,Plastic Products,8,11787.13073,2017
447,I9,Othr Rubber Prodct Excpt Footw,Na,Denmark,3633.0,3.254658,Rubber Products,5,11824.17251,2015
448,K7,Packaging Materials,Ton,Denmark,1002.0,2.202716,Plastic Products,8,2207.121432,2019
449,S6,Petroleum Products,Ton,Denmark,110.0,0.111902,Petroleum Products,13,12.30922,2015
450,K9,"Plastc Sht, Film, Plts Etc",Kgs,Denmark,235829.0,0.560531,Plastic Products,8,132189.4652,2019
451,K8,Plastic Raw Materials,Ton,Denmark,630.0,1.209109,Plastic Products,8,761.73867,2017
452,B8,Plastic Water Bottles,Ton,Denmark,0.0,0.000361,Plastic Products,8,0,2014
453,L4,Products Of Iron And Steel,Na,Denmark,4905.0,36.414228,Metals,2,178611.7883,2016
454,O3,Pumps Of All Types,Na,Denmark,1445.0,1.573173,Machinery and parts,10,2273.234985,2020
455,Q7,Rmg Silk,Na,Denmark,7583.0,0.549326,Fabric Materials,14,4165.539058,2013
456,Q9,Rmg Wool,Na,Denmark,9739.0,2.581505,Fabric Materials,14,25141.2772,2014
457,Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,Denmark,767.0,0.025333,Fabric Materials,14,19.430411,2015
458,N1,"Aircraft, Spacecraft And Parts",Na,China ,1577.0,24.401445000000002,Machinery and Parts,10,38481.07877,2013
459,M5,Accumulators And Batteries,Na,China ,1004.0,0.128631,Accumulators and Batteries,10,129.145524,2015
460,H9,Agro Chemicals,Kgs,China ,4706468.0,18.792873999999998,Fertilizers,3,88448060.11,2019
461,L5,"Aluminium, Products Of Aluminm",Ton,China ,1054.0,4.299151999999999,Metals,2,4531.306208,2018
462,N7,"Atm, Injctng Mlding Mchnry Etc",Na,China ,1054.0,8.344105,Machinery and Parts,10,8794.68667,2018
463,M3,Auto Components/Parts,Na,China ,1054.0,82.04494100000001,Machinery and Parts,10,86475.36781,2018
464,I8,Auto Tyres And Tubes,Nos,China ,2670796.0,23.300261,Rubber Products,5,62230243.88,2014
465,H4,Ayush And Herbal Products,Kgs,China ,919844.0,1.1632120000000001,Cosmetics,6,1069973.579,2020
466,N2,Bicycle And Parts,Na,China ,919844.0,4.633497,Machinery and Parts,10,4262094.414,2013
467,H5,"Bulk Drugs, Drug Intermediates",Kgs,China ,5900893.0,96.323745,Chemicals,7,568396112.6,2012
468,S2,Carpet(Excl. Silk) Handmade,Sqm,China ,11170.0,0.666333,Handicrafts,12,7442.93961,2017
469,O9,"Computer Hardware, Peripherals",Na,China ,25723.0,0.12487899999999999,Machinery and Parts,10,3212.262517,2013
470,P1,Consumer Electronics,Na,China ,4236.0,5.307186,Electronic Components,11,22481.2399,2020
471,L6,Copper And Prdcts Made Of Copr,Ton,China ,840.0,5.526266000000001,Metals,2,4642.06344,2015
472,I5,Cosmetics And Toiletries,Na,China ,1836.0,24.422757999999998,Cosmetics,6,44840.18369,2015
473,P8,"Cotton Fabrics, Madeups Etc.",Na,China ,2266.0,19.626811,Fabric Materials,14,44474.35373,2017
