pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
L5,"Aluminium, Products Of Aluminm",Ton,Sri Lanka ,349476,0.315471,Metals,2,110249.5432,2012
I8,Auto Tyres And Tubes,Nos,Sri Lanka ,1269,2.481657,Rubber Products,5,3149.222733,2018
H4,Ayush And Herbal Products,Kgs,Sri Lanka ,108665,7.339095,Cosmetics,6,797502.7582,2020
H5,"Bulk Drugs, Drug Intermediates",Kgs,Sri Lanka ,55602,0.534037,Chemicals,7,29693.52527,2012
S2,Carpet(Excl. Silk) Handmade,Sqm,Sri Lanka ,119654,0.116226,Handicrafts,12,13906.9058,2019
L6,Copper And Prdcts Made Of Copr,Ton,Sri Lanka ,1578,1.296999,Metals,2,2046.664422,2013
S4,Cotton Raw Incld. Waste,Ton,Sri Lanka ,0,0.000117,Fabric Materials,14,0,2013
P7,Cotton Yarn,Ton,Sri Lanka ,1043000,2.570405,Fabric Materials,14,2680932.415,2016
H8,"Drug Formulations, Biologicals",Kgs,Sri Lanka ,3991,20.358452,Chemicals,7,81250.58193,2017
H6,Dye Intermediates,Kgs,Sri Lanka ,204,0.187133,Dyes,7,38.175132,2020
H7,Dyes,Kgs,Sri Lanka ,108,0.348935,Dyes,7,37.68498,2020
M4,Electrodes,Kgs,Sri Lanka ,4900,0.100622,Accumulators and Batteries,9,493.0478,2015
I6,Plastic tubes,Kgs,Sri Lanka ,1827,0.03744,Plastic Materials,8,68.40288,2019
H2,Fertilizers Crude,Ton,Sri Lanka ,5272,0.279157,Fertilizers,3,1471.715704,2018
H3,Fertilizers Manufactured,Ton,Sri Lanka ,200,0.027535,Fertilizers,3,5.507,2019
F8,Finished Leather,Kgs,Sri Lanka ,30234,0.047478,Leather Products,1,1435.449852,2020
R8,Floor Cvrng Of Jute,Sqm,Sri Lanka ,975,0.010184,Handicrafts,12,9.9294,2017
K5,"Human Hair, Products Thereo",Kgs,Sri Lanka ,13619,36.276264,Cosmetics,6,494046.4394,2020
I2,Inorganic Chemicals,Kgs,Sri Lanka ,65,0.187955,Chemicals,7,12.217075,2013
L3,Iron And Steel,Ton,Sri Lanka ,20182030,17.700625,Metals,2,357234544.8,2020
R6,Jute Yarn,Ton,Sri Lanka ,402390,0.119495,Fabric Materials,14,48083.59305,2016
L7,Lead And Products Made Of Led,Ton,Sri Lanka ,90,3.678185,Metals,2,331.03665,2015
G3,Leather Footwear Component,Kgs,Sri Lanka ,10300510,4.803628,Leather Products,1,49479818.25,2020
G1,Leather Garments,Kgs,Sri Lanka ,6164,0.031984,Leather Products,1,197.149376,2015
P6,Manmade Staple Fibre,Kgs,Sri Lanka ,6622357,4.506245,Fabric Materials,14,29841963.12,2019
O5,Motor Vehicle/Cars,Nos,Sri Lanka ,44116,32.251773,Machinery and parts,10,1422819.218,2017
I3,Organic Chemicals,Kgs,Sri Lanka ,903,1.585176,Chemicals,7,1431.413928,2014
M2,Oth Non Ferous Metal And Prodc,Kgs,Sri Lanka ,38744,0.47144,Metals,2,18265.47136,2016
I4,Other Miscellaenious Chemicals,Kgs,Sri Lanka ,7573,0.19003,Chemicals,7,1439.09719,2017
K7,Packaging Materials,Ton,Sri Lanka ,149049,1.680191,Plastic Products,8,250430.7884,2012
S6,Petroleum Products,Ton,Sri Lanka ,5974,0.093764,Petroleum Products,13,560.146136,2015
K9,"Plastc Sht, Film, Plts Etc",Kgs,Sri Lanka ,3600,0.014129,Plastic Products,8,50.8644,2017
K8,Plastic Raw Materials,Ton,Sri Lanka ,160724,0.086617,Plastic Products,8,13921.43071,2015
G7,Silver,Kgs,Sri Lanka ,230,3.809234,Metals,2,876.12382,2015
M1,Zinc And Products Made Of Zinc,Ton,Sri Lanka ,95954,49.356403,Metals,2,4735944.293,2017
L5,"Aluminium, Products Of Aluminm",Ton,Sri Lanka ,22,0.1608,Metals,2,3.5376,2012
H4,Ayush And Herbal Products,Kgs,Sri Lanka ,50796657,56.993251,Cosmetics,6,2895066622,2013
S2,Carpet(Excl. Silk) Handmade,Sqm,Sri Lanka ,875697,9.124024,Handicrafts,12,7989880.445,2019
H8,"Drug Formulations, Biologicals",Kgs,Sri Lanka ,9563420,5.471021,Chemicals,7,52321671.65,2019
K5,"Human Hair, Products Thereo",Kgs,Sri Lanka ,43,0.230503,Cosmetics,6,9.911629,2018
L3,Iron And Steel,Ton,Sri Lanka ,919598,2.302232,Metals,2,2117127.943,2016
P6,Manmade Staple Fibre,Kgs,Sri Lanka ,817,3.630878,Fabric Materials,14,2966.427326,2014
O5,Motor Vehicle/Cars,Nos,Sri Lanka ,21986645,60.798898,Machinery and parts,10,1336763787,2014
K7,Packaging Materials,Ton,Sri Lanka ,210295,88.74551,Plastic Products,8,18662737.03,2014
K9,"Plastc Sht, Film, Plts Etc",Kgs,Sri Lanka ,2007025,5.71377,Plastic Products,8,11467679.23,2017
K8,Plastic Raw Materials,Ton,Sri Lanka ,51665,89.333263,Plastic Products,8,4615403.033,2012
