pc_code,pc_description,unit,country_name,quantity,perUnit,categoryName,categoryID,Value,year
K8,Plastic Raw Materials,Ton,New Zealand,581,1.283719,Plastic Products,8,745.840739,2012
K8,Plastic Raw Materials,Ton,Thailand,1402,1.325583,Plastic Products,8,1858.467366,2016
K8,Plastic Raw Materials,Ton,Iraq,1779,1.433842,Plastic Products,8,2550.804918,2019
K8,Plastic Raw Materials,Ton,Bhutan,1368,1.857914,Plastic Products,8,2541.626352,2014
K8,Plastic Raw Materials,Ton,Hong Kong,2959,3.323598,Plastic Products,8,9834.526482,2018
K8,Plastic Raw Materials,Ton,U Arab Emts,2041,3.361752,Plastic Products,8,6861.335832,2012
K8,Plastic Raw Materials,Ton,Russia,2774,3.655852,Plastic Products,8,10141.33345,2019
K8,Plastic Raw Materials,Ton,Myanmar,4881,4.797678,Plastic Products,8,23417.46632,2018
K8,Plastic Raw Materials,Ton,U S A,5650,5.616794,Plastic Products,8,31734.8861,2017
K8,Plastic Raw Materials,Ton,Thailand,6980,5.969982,Plastic Products,8,41670.47436,2019
K8,Plastic Raw Materials,Ton,U K,4147,8.463801,Plastic Products,8,35099.38275,2017
K8,Plastic Raw Materials,Ton,Australia,4570,8.740426,Plastic Products,8,39943.74682,2018
K8,Plastic Raw Materials,Ton,Canada,10627,11.480117,Plastic Products,8,121999.2034,2017
K8,Plastic Raw Materials,Ton,Malaysia,7137,13.806613,Plastic Products,8,98537.79698,2014
K8,Plastic Raw Materials,Ton,Japan,6968,14.566413,Plastic Products,8,101498.7658,2016
K8,Plastic Raw Materials,Ton,South Africa,9945,14.64282,Plastic Products,8,145622.8449,2014
K8,Plastic Raw Materials,Ton,Brazil,11155,16.007751,Plastic Products,8,178566.4624,2018
K8,Plastic Raw Materials,Ton,France,18144,19.462677,Plastic Products,8,353130.8115,2017
K8,Plastic Raw Materials,Ton,China,19032,20.69352,Plastic Products,8,393839.0726,2017
K8,Plastic Raw Materials,Ton,Singapore,7476,21.031696,Plastic Products,8,157232.9593,2012
K8,Plastic Raw Materials,Ton,Thailand,16547,32.102804,Plastic Products,8,531205.0978,2018
